Soil evaporation,Soil eva avr,Soil eva var,Lakes,Lake entropy,land entropy,Precipitation,Precicpt avr,Precicpt var,Soil moisture,Soil moist avr,Soil moist var,NDVI,NDVI avr,NDVI var,Elevation,Elevation avr,Elevation var,soil entropy,Aspect,Aspect avr,Aspect var,Curvature,Curvature avr,Curvature var,Plan curvature,Plan curv avr,Plan curv var,Profile curvature,Profile curv avr,Profile curv var,Distance to river,Dist river avr,Dist river var,Slope,Slope avr,Slope var,dust_storm,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
,0.483832,0.001843,1.0,-0.0,-4.364913,705.15344,705.15344,0.0,,0.205807,1.7e-05,-0.0479,0.1853,0.006366,530.0,558.6667,733.3333,-6.627943,113.19859,91.13116,399.36365,-2478405.8,3029163.8,1332618200000000.0,2478405.8,8371917.5,717116900000000.0,-0.0,11401081.0,158214150000000.0,10.673577,15.094718,0.0,0.05270217,1.275948,0.33755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40347826,0.520314,0.001261,0.0,-0.0,-4.754888,377.03995,377.03995,0.0,0.16243103,0.166369,2.2e-05,0.1456,0.188506,0.001189,340.0,330.55554,6.246914,-14.473047,307.40536,233.7442,17290.418,2478405.8,-3992987.0,7431661300000.0,2.404959e-10,3171199.2,4794620000000.0,2478405.8,-821787.75,1395546500000.0,4.7733693,1.591123,5.063345,0.1748725,0.144049,0.006742,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.23304348,0.2357,1.3e-05,0.0,-0.0,-15.509775,144.24701,144.24701,0.0,0.12334482,0.130608,5e-06,0.1159,0.110511,1.7e-05,176.0,177.55556,8.91358,-43.01955,30.963757,179.04315,23811.098,-0.0,7848284.5,15356239000000.0,-2478405.8,-5215735.0,11239035000000.0,-2478405.8,2632549.8,7986720300000.0,49.14484,52.71551,0.851188,0.043615032,0.372331,0.041268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4973913,0.462971,0.001517,0.0,-0.0,-0.0,403.11172,403.69617,0.683122,0.17164081,0.180787,5e-05,0.1765,0.192094,0.000121,1123.0,1180.4445,4724.469,-15.767656,223.64325,224.6286,261.9303,-133833910.0,-32632344.0,2649121600000000.0,97108380.0,47206000.0,635685400000000.0,-36725532.0,14573652.0,886036600000000.0,70.961235,67.84232,0.0,5.302594,4.949816,2.518786,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.50891304,0.49901,4e-05,0.0,-0.0,-0.0,250.13875,237.6164,0.0,0.16661207,0.167628,2.1e-05,0.13745,0.124078,5.2e-05,73.0,72.111115,0.987654,-19.651484,173.6598,208.41449,984.24445,4956811.5,0.0,4777496300000.0,-2478405.8,-13768.944,1946640000000.0,2478405.8,-13768.917,1127640900000.0,4.7733693,4.77337,0.0,0.04646257,0.037736,0.000122,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5202174,0.741957,0.036646,0.0,-0.0,-0.0,675.52386,682.6548,0.0,0.1768247,0.192398,4.5e-05,0.3637,0.245289,0.005576,571.0,538.7778,109.950615,-2.183498,270.0,265.62915,4763.268,16109638.0,-15971948.0,1166543200000000.0,-15276192.0,16704254.0,231641610000000.0,833446.2,732305.0,647345400000000.0,0.0,0.0,0.0,0.36025634,0.611306,0.06594,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59152174,0.508454,0.000827,0.0,-0.0,-4.754888,749.962,762.8644,83.23575,0.23168679,0.237389,0.000262,0.24505,0.372111,0.004126,2109.0,1625.7778,22539.729,-19.651484,78.95265,316.7952,284.7913,614644600.0,-42683656.0,5.109502e+16,-304496830.0,47424750.0,1.2503427e+16,310147800.0,4741100.5,1.6873571e+16,33.41358,36.595833,5.063352,5.8807592,7.096499,6.598494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.43804348,0.432415,1.5e-05,0.0,-0.0,-15.509775,174.79483,170.0697,11.163418,0.15432759,0.158783,4.9e-05,0.1007,0.093078,1.9e-05,500.0,511.0,18.222221,-29.587593,69.443954,100.946304,908.21716,-9913623.0,-7159839.0,76022870000000.0,7602033.0,4180983.5,13576794000000.0,-2311590.0,-2978855.8,34124077000000.0,109.891205,109.891205,0.0,0.3223092,0.36228,0.010079,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6795652,0.666932,0.00041,0.0,-0.0,-0.0,405.8234,405.8234,0.0,0.18091092,0.177752,2e-05,0.11775,0.110306,2.4e-05,351.0,342.44446,46.91358,-24.583618,292.47943,170.92926,1579.7812,14870435.0,-6609082.5,171307370000000.0,-15745166.0,1935355.8,39050874000000.0,-874731.44,-4673726.0,61048420000000.0,6.750563,9.365906,3.420009,0.43891183,0.424153,0.011268,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.53652173,0.479734,0.00064,0.0,-0.0,-4.754888,309.8068,316.89334,25.109436,0.16231322,0.172632,3.1e-05,0.1643,0.185244,0.000504,297.0,290.55554,13.580247,-19.651484,341.56506,263.82043,2077.589,-3717608.8,-2891473.2,29347478000000.0,4615746.5,2087200.2,12558317000000.0,898137.9,-804273.25,10324738000000.0,10.673577,5.432434,0.868732,0.26493907,0.242412,0.006814,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
