FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
915,301612.6549,4076781.423,2,4,3,3,5,5,2,5,5,2,3,1,2,4,16,5,1
568,276849.6671,4108176.183,3,5,2,3,3,4,2,5,4,3,3,1,5,4,16,5,1
590,310672.2238,4103864.99,2,5,1,2,1,3,2,5,5,3,3,1,5,6,16,5,1
895,332120.0359,4092620.559,5,5,5,1,1,5,2,5,1,1,5,1,5,4,16,5,1
574,311009.8334,4113416.896,2,4,3,3,1,3,2,5,3,1,5,1,5,4,16,5,1
676,317431.8619,4110191.672,4,5,5,3,1,3,2,5,5,1,5,1,5,4,16,5,1
521,314210.697,4108566.043,2,4,3,2,1,1,2,5,1,2,5,1,5,4,16,5,1
613,318128.5285,4107000.612,4,5,9,3,1,1,2,5,1,2,5,1,5,4,16,5,1
958,307997.9646,4074075.904,3,4,7,1,1,5,2,5,1,2,5,1,3,5,16,5,1
957,307595.0644,4073807.468,3,4,7,2,1,5,2,5,1,2,5,1,3,5,16,5,1
674,334967.8867,4086398.585,5,5,5,2,3,5,2,5,3,2,5,1,3,4,16,5,1
551,315876.0855,4109053.704,5,4,7,2,1,1,2,5,4,2,5,1,5,4,16,5,1
949,315287.159,4106969.748,5,4,4,3,1,1,2,5,5,2,5,1,5,4,16,5,1
773,303473.206,4075751.533,5,5,5,3,1,5,2,5,5,2,5,1,3,4,16,5,1
738,267748.9678,4114190.348,3,5,4,2,1,5,2,5,1,3,5,1,5,4,16,5,1
650,267350.1411,4118520.087,3,5,7,2,1,3,2,2,3,3,5,1,5,4,16,5,1
701,311530.6657,4106898.603,2,5,8,1,1,1,2,5,1,5,5,1,5,5,16,5,1
797,234952.0292,4067516.879,4,5,7,3,1,4,2,5,1,5,5,1,4,4,16,5,1
592,313170.4838,4102853.476,5,5,4,1,1,5,2,5,1,5,5,1,5,5,16,5,1
