Soil_evaporation,Soil_evaporation variance,Soil_evaporation median,Lakes,Lakes entropy,Lakes mode,landcover entropy,landcover mode,Precipitation,Precipitation variance,Precipitation median,Soil_moisture,Soil_moisture variance,Soil_moisture median,NDVI,NDVI variance,NDVI median,Elevation,Elevation variance,Elevation median,soil_type entropy,soil_type mode,Aspect,Aspect variance,Aspect median,Curvature,Curvature variance,Curvature median,Plan_curvature,Plan_curvature variance,Plan_curvature median,Profile_curvature,Profile_curvature variance,Profile_curvature median,Distance_to_river,Distance_to_river variance,Distance_to_river median,Slope,Slope variance,Slope median,dust_storm,X,Y,Bare_Soil,Cropland,Natural_vegetation,Clay_Loam,Loam,Loam_Sand,Sand,Sand_Clay_Loam,Sand_Loam
0.5202174,0.016028210520744324,0.54565215,0,-0.0,0,1.1386769915269097,3,675.52386,12.453068,675.52386,0.1768247,9.165999654214829e-05,0.18520546,0.3637,0.00521934,0.3074,571,626.56809663,572.0,1.5188112374121603,4,270.0,9604.38,228.07333,16109638.0,1215274000000000.0,4956811.5,-15276192.0,358715670000000.0,2268470.2,833446.2,496337900000000.0,2971323.0,0.0,5.504094,0.0,0.36025634,0.10694772,0.75894064,0,38.99342531033554,37.75540682607656,False,True,False,True,False,False,False,False,False
0.59152174,0.0033369099255651236,0.50956523,0,-0.0,0,0.8886466698980793,3,749.962,76.44101,749.962,0.23168679,0.00011831000301754102,0.23887068,0.24505,0.00695649,0.37135,2109,55450.06913786,1732.0,0.14372616993938178,7,78.95265,8885.647,162.45975,614644600.0,8.52966e+16,9913623.0,-304496830.0,2.5106064e+16,7758830.0,310147800.0,2.962227e+16,11356603.0,33.41358,4.6500177,33.41358,5.8807592,8.860218,8.110203,0,42.06364472228358,38.285453027796876,False,True,False,False,True,False,False,False,False
0.43804348,3.3200001780642197e-05,0.43369564,0,-0.0,0,-0.0,6,174.79483,10.252118,174.79483,0.15432759,7.290999928954989e-05,0.15200287,0.1007,2.887e-05,0.0968,500,275.02457309,509.0,1.1122480392832161,9,69.443954,10799.218,98.53077,-9913623.0,605822450000000.0,-2478405.8,7602033.0,270773080000000.0,1525172.8,-2311590.0,115900790000000.0,-2180997.0,109.891205,5.5968523,109.891205,0.3223092,0.07732963,0.42847332,0,38.81189586673053,34.849597464837636,True,False,False,False,False,False,False,False,True
0.6795652,0.0028214300982654095,0.62456524,0,-0.0,0,0.14372616993938178,1,405.8234,75.11191,395.31082,0.18091092,6.381999992299825e-05,0.18130459,0.11775,0.00074263,0.1227,351,107.85839234,350.0,0.7745178605709557,7,292.47943,4462.5117,205.25316,14870435.0,190998120000000.0,2478405.8,-15745166.0,57429170000000.0,-726429.3,-874731.44,64880330000000.0,0.0,6.750563,4.7998676,6.750563,0.43891183,0.0397604,0.3473275,0,38.2994906777889,36.025931024134216,False,False,True,False,True,False,False,False,False
0.53652173,0.004158739931881428,0.53652173,0,-0.0,0,0.8886466698980793,3,309.8068,23.059685,309.8068,0.16231322,5.959999907645397e-05,0.16740517,0.1643,0.00101804,0.1518,297,66.00999584,301.0,0.14372616993938178,7,341.56506,2913.45,323.88065,-3717608.8,41430504000000.0,-2478405.8,4615746.5,18619340000000.0,2245144.0,898137.9,10947182000000.0,-1029491.6,10.673577,5.100955,6.750563,0.26493907,0.01018005,0.28884047,0,40.84721792803438,36.18540484705455,False,True,False,False,True,False,False,False,False
0.35586956,3.121999907307327e-05,0.35413045,0,-0.0,0,0.9313043685793763,6,166.88956,0.8816173,166.88956,0.13470976,5.270000110613182e-05,0.13932471,0.1654,0.00019323,0.143,13,0.28571429,13.0,1.0430588347864087,7,225.0,11743.489,180.0,-0.0,3848972800000.0,0.0,0.0,1098233300000.0,0.0,0.0,912756000000.0,0.0,27.833284,5.4860034,25.70538,0.007012263,6.136e-05,0.017931823,0,46.31453108399742,31.96718578009634,False,False,True,False,True,False,False,False,False
0.51108694,0.0017391600413247943,0.5093478,0,-0.0,0,0.5916727785823275,3,681.9095,0.0,681.9095,0.19864367,6.202000076882541e-05,0.19262788,0.31345,0.00030686,0.29605,1260,376.94877135,1237.0,0.14372616993938178,7,70.24053,7215.0146,144.09027,27262464.0,1221456000000000.0,13631232.0,-6841928.0,487953550000000.0,-7187377.0,20420536.0,365206870000000.0,5643139.5,37.281204,3.5491834,37.281204,0.72105515,0.29280737,0.8616026,0,39.551726346194954,37.85587902067508,False,True,False,False,True,False,False,False,False
0.18608695,1.1189999895577785e-05,0.18782608,0,-0.0,0,-0.0,6,77.280235,0.25469464,77.280235,0.12263506,2.3540000256616622e-05,0.13645403,0.10445,1.193e-05,0.1032,336,10.45730945,337.0,-0.0,12,74.0546,3943.227,56.309933,-1239202.9,15855109000000.0,0.0,72894.29,4926790400000.0,-218682.86,-1166308.6,4540810000000.0,0.0,122.2579,6.403744,122.2579,0.10432144,0.00181935,0.08478226,0,44.022557791628174,30.5482694701603,True,False,False,False,False,False,True,False,False
0.44434783,0.010633770376443863,0.4423913,0,-0.0,0,0.3322866302216151,3,439.7767,92.1223,438.86923,0.17516379,4.365000131656416e-05,0.17550287,0.20395,0.00116656,0.22625,393,42.45314452,395.0,0.2460225782203316,4,168.69006,1236.2262,201.8014,-2478405.8,22697302000000.0,-1239202.9,-1167710.4,5153436000000.0,786417.25,-3646116.2,9366582000000.0,0.0,21.347155,5.2024693,23.866844,0.18093194,0.00240441,0.18764517,0,41.88551227482397,36.90937049520706,False,True,False,True,False,False,False,False,False
0.65152174,0.00044966000132262707,0.6302174,0,-0.0,0,-0.0,1,583.847,144.04146,583.847,0.20350575,0.00015468000492546707,0.18037356,0.1822,7.36e-05,0.19675,654,681.15118701,659.0,0.6420642892306891,7,110.3441,5532.126,116.24135,3717608.8,1132287600000000.0,-2478405.8,1360406.5,399870920000000.0,1274753.8,5078015.5,336007070000000.0,991362.3,50.741608,4.994126,47.73369,0.6418837,0.12123027,0.5762767,0,39.3390200214217,37.1145546364291,False,False,True,False,True,False,False,False,False
